Elapsed Time (ms),ECEF X (m),ECEF Y (m),ECEF Z (m),Yaw (deg),Pitch (deg),Roll (deg),Velocity X (m/s),Velocity Y (m/s),Velocity Z (m/s),Accel. X (m/s^2),Accel. Y (m/s^2),Accel. Z (m/s^2),GPS TOW,GPS Week Number
541400,370911.5091700221,-5809730.852825191,-5062611.075689457,150.386343661129,0.1326217335474821,0,3183.112054364756,4187.114151660353,-4571.050493046641,0.2945307642221451,4.54997643828392,4.392815753817558,259723.400,2296
541500,371229.821828244,-5809312.118670796,-5063068.15876567,150.3835629164232,0.1326205083032038,0,3183.141098124906,4187.56891740486,-4570.611011702567,0.2930173650383949,4.547880962491035,4.395609721541405,259723.500,2296
541600,371548.1373910503,-5808893.339040826,-5063525.197892691,150.3807814885717,0.1326192938133988,0,3183.1701338524,4188.02365520969,-4570.17150009051,0.2933666110038757,4.550907760858536,4.391418769955635,259723.600,2296
541700,371866.4558563577,-5808474.513938937,-5063982.193066552,150.3779994834158,0.1326180586415873,0,3183.199151768349,4188.478359952569,-4569.731953553855,0.2915039658546448,4.548812285065651,4.393979907035828,259723.700,2296
541800,372184.7772220674,-5808055.643368799,-5064439.144283269,150.3752168484821,0.1326168205776738,0,3183.228149893694,4188.933028839529,-4569.292367901653,0.2958113327622414,4.555797204375267,4.386063665151596,259723.800,2296
541900,372503.1014861246,-5807636.727334036,-5064896.051538903,150.3724336580948,0.1326155624502875,0,3183.257128694095,4189.387659076601,-4568.852737080306,0.295520294457674,4.555564373731613,4.385365173220634,259723.900,2296
542000,372821.4286464225,-5807217.765838319,-5065352.914829478,150.3696497902928,0.1326143194146736,0,3183.286080835387,4189.842250198126,-4568.41306714341,0.2966844476759434,4.551373422145844,4.391185939311981,259724.000,2296
542100,373139.7587008951,-5806798.758885304,-5065809.734151019,150.3668654743203,0.1326130740455218,0,3183.315003989264,4190.296801738441,-4567.973352968693,0.2972083166241646,4.551606252789497,4.390953108668327,259724.100,2296
542200,373458.091647459,-5806379.706478637,-5066266.509499572,150.3640804976159,0.1326118248561417,0,3183.343921438791,4190.751328133047,-4567.533612716943,0.2909800969064236,4.546716809272766,4.395144060254097,259724.200,2296
542300,373776.4274840166,-5805960.608621993,-5066723.240871157,150.3612949267093,0.1326105584231951,0,3183.372810599394,4191.205808892846,-4567.093822639436,0.2887682057917118,4.54694963991642,4.394678398966789,259724.300,2296
542400,374094.7662084941,-5805541.465319016,-5067179.928261818,150.3585087611365,0.1326092911476092,0,3183.401685557328,4191.660254728049,-4566.653995309025,0.2892338670790195,4.548579454421997,4.394212737679482,259724.400,2296
542500,374413.1078187875,-5805122.276573373,-5067636.57166758,150.3557219198421,0.1326080118226695,0,3183.430534205399,4192.114664707333,-4566.21412653476,0.2904562279582024,4.543457180261612,4.399800673127174,259724.500,2296
542600,374731.452312852,-5804703.042388702,-5068093.171084498,150.3529346446846,0.1326067568644223,0,3183.459355961531,4192.569035105407,-4565.774219110608,0.2856249921023846,4.537869244813919,4.405854269862175,259724.600,2296
542700,375049.7996885732,-5804283.762768684,-5068549.726508584,150.3501466983698,0.1326054645056716,0,3183.488158974797,4193.023367319256,-4565.33426605165,0.2847518771886826,4.53973188996315,4.403293132781982,259724.700,2296
542800,375368.1499438754,-5803864.437716967,-5069006.237935885,150.3473581617343,0.1326041679484058,0,3183.516939054243,4193.477660417557,-4564.894271083176,0.2854503691196442,4.540430381894112,4.402827471494675,259724.800,2296
542900,375686.5030766774,-5803445.067237207,-5069462.70536244,150.3445690229947,0.132602891077201,0,3183.545703766868,4193.931922316551,-4564.454244449735,0.2793385647237301,4.53554093837738,4.407716915011406,259724.900,2296
543000,376004.8590848995,-5803025.651333058,-5069919.128784291,150.3417793053783,0.1326016112604735,0,3183.574451948516,4194.386147893965,-4564.014177303761,0.2768938429653645,4.53251414000988,4.410278052091599,259725.000,2296
543100,376323.2179664159,-5802606.190008217,-5070375.508197437,150.3389888820674,0.132600298965266,0,3183.603176032193,4194.84033761546,-4563.574071973562,0.2910965122282505,4.543457180261612,4.400033503770828,259725.100,2296
