utc_time,sat,constellation,jump_m,jump_cycles,dt_s
2026-06-24 07:22:38,E32,E,-0.092,-0.49,1
2026-06-24 07:30:56,C09,C,-0.070,-0.36,1
2026-06-24 07:30:56,C13,C,0.169,0.88,1
2026-06-24 07:30:56,C14,C,-0.234,-1.22,1
2026-06-24 07:30:56,C21,C,-0.395,-2.05,1
2026-06-24 07:30:56,C23,C,-0.388,-2.02,1
2026-06-24 07:30:56,C27,C,0.654,3.41,1
2026-06-24 07:30:56,C28,C,0.437,2.27,1
2026-06-24 07:30:56,C33,C,0.622,3.24,1
2026-06-24 07:30:56,C34,C,-0.350,-1.82,1
2026-06-24 07:30:56,C37,C,-0.198,-1.03,1
2026-06-24 07:30:56,C38,C,-0.072,-0.38,1
2026-06-24 07:30:56,C41,C,0.833,4.34,1
2026-06-24 07:30:56,E07,E,0.543,2.85,1
2026-06-24 07:30:56,E08,E,0.151,0.79,1
2026-06-24 07:30:56,E13,E,-0.259,-1.36,1
2026-06-24 07:30:56,E14,E,-0.454,-2.39,1
2026-06-24 07:30:56,E21,E,-0.444,-2.33,1
2026-06-24 07:30:56,E23,E,-0.205,-1.08,1
2026-06-24 07:30:56,E29,E,0.688,3.62,1
2026-06-24 07:30:56,E31,E,0.306,1.61,1
2026-06-24 07:30:56,E33,E,0.386,2.03,1
2026-06-24 07:30:56,G01,G,0.439,2.30,1
2026-06-24 07:30:56,G02,G,0.135,0.71,1
2026-06-24 07:30:56,G03,G,0.822,4.32,1
2026-06-24 07:30:56,G08,G,-0.101,-0.53,1
2026-06-24 07:30:56,G10,G,-0.425,-2.23,1
2026-06-24 07:30:56,G14,G,0.535,2.81,1
2026-06-24 07:30:56,G22,G,0.640,3.36,1
2026-06-24 07:30:56,G27,G,-0.420,-2.21,1
2026-06-24 07:30:56,G32,G,0.329,1.73,1
2026-06-24 07:38:21,E32,E,0.105,0.55,1
2026-06-24 07:41:32,C34,C,-66602868.771,-346818615.54,6
2026-06-24 07:41:34,C34,C,-0.088,-0.46,1
2026-06-24 07:42:20,C34,C,0.959,4.99,3
2026-06-24 07:43:11,C34,C,0.197,1.03,5
2026-06-24 07:43:37,C34,C,0.571,2.97,7
2026-06-24 07:45:07,C34,C,-0.961,-5.00,4
2026-06-24 07:45:25,C34,C,-0.295,-1.54,5
2026-06-24 07:45:28,C34,C,-0.096,-0.50,1
2026-06-24 07:45:55,C34,C,1.726,8.99,7
2026-06-24 07:45:58,C34,C,-0.196,-1.02,1
2026-06-24 07:46:10,C34,C,1.528,7.96,8
2026-06-24 07:46:28,C34,C,-0.571,-2.97,18
2026-06-24 07:46:43,G17,G,1.330,6.99,1
